"","Zone","HOUSEHOLDS BY TYPE","Total households","Family households families","With own children of the householder under 18 years","Marriedcouple family","With own children of the householder under 18 years.1","Male householder no wife present family","With own children of the householder under 18 years.2","Female householder no husband present family","With own children of the householder under 18 years.3","Nonfamily households","Householder living alone","65 years and over","Households with one or more people under 18 years","Households with one or more people 65 years and over","Average household size","Average family size","RELATIONSHIP","Population in households","Householder","Spouse","Child","Other relatives","Nonrelatives","Unmarried partner","MARITAL STATUS","Males 15 years and over","Never married","Now married except separated","Separated","Widowed","Divorced","Females 15 years and over","Never married.1","Now married except separated.1","Separated.1","Widowed.1","Divorced.1","FERTILITY","Number of women 15 to 50 years old who had a birth in the past 12 months","Unmarried women widowed divorced and never married","Per 1000 unmarried women","Per 1000 women 15 to 50 years old","Per 1000 women 15 to 19 years old","Per 1000 women 20 to 34 years old","Per 1000 women 35 to 50 years old","GRANDPARENTS","Number of grandparents living with own grandchildren under 18 years","Grandparents responsible for grandchildren","Years responsible for grandchildren","Less than 1 year","1 or 2 years","3 or 4 years","5 or more years","Number of grandparents responsible for own grandchildren under 18 years","Who are female","Who are married","SCHOOL ENROLLMENT","Population 3 years and over enrolled in school","Nursery school preschool","Kindergarten","Elementary school grades 18","High school grades 912","College or graduate school","EDUCATIONAL ATTAINMENT","Population 25 years and over","Less than 9th grade","9th to 12th grade no diploma","High school graduate includes equivalency","Some college no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","High school graduate or higher","Bachelor's degree or higher","VETERAN STATUS","Civilian population 18 years and over","Civilian veterans","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","Total Civilian Noninstitutionalized Population","With a disability","Under 18 years","With a disability.1","18 to 64 years","With a disability.2","65 years and over.1","With a disability.3","RESIDENCE 1 YEAR AGO","Population 1 year and over","Same house","Different house in the US","Same county","Different county","Same state","Different state","Abroad","PLACE OF BIRTH","Total population","Native","Born in United States","State of residence","Different state.1","Born in Puerto Rico US Island areas or born abroad to American parents","Foreign born","US CITIZENSHIP STATUS","Foreignborn population","Naturalized US citizen","Not a US citizen","YEAR OF ENTRY","Population born outside the United States","Native.1","Entered 2010 or later","Entered before 2010","Foreign born.1","Entered 2010 or later.1","Entered before 2010.1","WORLD REGION OF BIRTH OF FOREIGN BORN","Foreignborn population excluding population born at sea","Europe","Asia","Africa","Oceania","Latin America","Northern America","LANGUAGE SPOKEN AT HOME","Population 5 years and over","English only","Language other than English","Speak English less than very well","Spanish","Speak English less than very well.1","Other IndoEuropean languages","Speak English less than very well.2","Asian and Pacific Islander languages","Speak English less than very well.3","Other languages","Speak English less than very well.4","ANCESTRY","Total population.1","American","Arab","Czech","Danish","Dutch","English","French except Basque","French Canadian","German","Greek","Hungarian","Irish","Italian","Lithuanian","Norwegian","Polish","Portuguese","Russian","ScotchIrish","Scottish","Slovak","Subsaharan African","Swedish","Swiss","Ukrainian","Welsh","West Indian excluding Hispanic origin groups","COMPUTERS AND INTERNET USE","Total households.1","With a computer","With a broadband Internet subscription"
"1",1,NA,134851,87598,36896,65983,28423,7053,2305,14562,6168,47253,38314,14458,40263,36814,223.5,276.49,NA,363133,134851,65796,109174,31428,21884,7915,NA,147955,59367,74428,1721,3015,9424,153253,51815,71816,2967,13812,12843,NA,4743,1075,1953,4553,138,7058,3480,NA,6929,1183,NA,157,291,208,527,1183,794,698,NA,85423,6517,4753,33090,16219,24844,NA,261538,19271,14929,65396,48442,17443,61722,34335,227338,96057,NA,289570,10781,NA,364828,33816,76875,2172,237246,14268,50707,17376,NA,362083,323897,36050,30065,5985,2093,3892,2136,NA,366732,253741,244849,208454,36395,8892,112991,NA,112991,60848,52143,NA,121883,8892,1112,7780,112991,15007,97984,NA,112991,41196,26974,3932,74,40543,272,NA,343350,171928,171422,73537,86425,33748,54884,26222,20812,9489,9301,4078,NA,366732,11641,8237,2583,884,1718,8271,3693,757,38801,4627,1851,41188,24655,1092,3617,54287,95,2669,926,2638,754,2256,5565,776,4256,548,754,NA,134851,117890,106520
"2",2,NA,106624,37688,17029,31362,14098,2174,755,4152,2176,68936,49017,8107,17573,13773,146.65,202.75,NA,212013,106624,31498,35309,5508,33074,9795,NA,93489,52448,34108,795,858,5280,92848,48439,32986,1076,3366,6981,NA,2836,212,271,3090,NA,3653,3078,NA,590,53,NA,8,0,6,39,53,21,26,NA,40716,4087,1789,12186,3982,18672,NA,161506,2671,3770,12492,15997,5825,71664,49087,155065,120751,NA,183402,4627,NA,213307,13511,31118,529,164950,7129,17239,5853,NA,211533,161004,48007,34400,13607,3808,9799,2522,NA,214588,184836,181093,99354,81739,3743,29752,NA,29752,15499,14253,NA,33495,3743,522,3221,29752,6909,22843,NA,29752,8036,10604,3192,176,6865,879,NA,201775,163949,37826,11192,13992,4449,12397,2784,6598,2128,4839,1831,NA,214588,5290,2522,2270,1052,3372,14527,5679,944,42060,2833,1805,38625,18033,1592,3301,18302,341,6797,1566,4156,620,4273,4966,857,1394,1394,357,NA,106624,100204,93687
"3",3,NA,102241,45788,19814,30392,12497,4303,1627,11093,5690,56453,35434,6319,21761,14081,222.13,293.44,NA,241066,102241,30430,54278,16266,37851,11306,NA,104243,60097,33768,1739,1558,7081,103564,56182,32925,2152,4566,7739,NA,3718,1081,2040,4254,NA,4464,4382,NA,3240,954,NA,295,103,110,446,954,682,516,NA,54051,4580,2294,16100,8037,23040,NA,177895,12191,9188,25674,21977,7594,62693,38578,156516,101271,NA,201935,3873,NA,243081,17263,42182,890,183043,10115,17856,6258,NA,240821,193094,45646,34743,10903,3257,7646,2081,NA,244506,201703,193632,132695,60937,8071,42803,NA,42803,18410,24393,NA,50874,8071,690,7381,42803,6888,35915,NA,42803,7594,8369,1012,119,25073,636,NA,228313,151879,76434,30201,58662,24898,10620,3458,6036,1653,1116,192,NA,244506,3626,1310,1756,842,1931,9452,3471,639,29077,2074,1143,25543,14952,1153,2432,14517,257,3474,872,2531,626,2164,3363,535,3443,1127,744,NA,102241,90830,83835
"4",4,NA,133362,44769,12869,36874,9301,2363,745,5532,2823,88593,71645,11857,13784,21000,85.51,121.52,NA,225620,133362,36823,26031,5154,24250,9863,NA,104284,55399,39837,766,1170,7112,113917,58525,39071,1595,4455,10271,NA,2831,323,451,1748,NA,1602,2801,NA,647,135,NA,24,19,0,92,135,88,92,NA,48093,2846,1210,8072,3155,32810,NA,188059,1141,3123,10010,18277,5838,75810,73860,183795,149670,NA,216146,5762,NA,237531,13965,22715,338,187866,7868,26950,5759,NA,236053,171366,59368,37681,21687,5584,16103,5319,NA,238990,192015,187649,101105,86544,4366,46975,NA,46975,21138,25837,NA,51341,4366,316,4050,46975,17822,29153,NA,46975,10216,26113,1637,647,6113,2249,NA,229156,178672,50484,10935,9264,2051,21199,2695,16999,5763,3022,426,NA,238990,5326,3724,2125,939,2892,14643,5199,1048,35141,2843,1845,31710,18614,2154,3596,15725,494,7036,1720,3447,745,2877,4118,764,1978,1343,1283,NA,133362,127679,118033
"5",5,NA,44401,18445,8849,8021,3108,1642,616,8782,5125,25956,22403,6556,10390,10486,NA,NA,NA,91314,44401,8013,24192,6553,8155,1757,NA,35332,20641,9251,912,1068,3460,44958,25602,9203,1531,3468,5154,NA,1057,614,NA,NA,NA,NA,NA,NA,1441,409,NA,40,41,72,256,409,328,163,NA,32687,1941,970,8759,4418,16599,NA,62856,1610,4696,10437,12333,3815,13743,16222,56550,29965,NA,76913,3445,NA,95696,13091,19869,959,63484,6856,12343,5276,NA,95853,75043,18972,14835,4137,489,3648,1838,NA,96828,86372,85349,60370,24979,1023,10456,NA,10456,3302,7154,NA,11479,1023,136,887,10456,4943,5513,NA,10456,1499,5092,1425,124,1809,507,NA,91094,78014,13080,3435,3821,894,3276,633,4404,1556,1579,352,NA,96828,1098,598,148,204,351,2326,541,117,3825,249,174,3280,1749,146,436,1589,94,899,182,489,137,2673,773,215,184,298,803,NA,44401,37974,32700
"6",6,NA,96484,67383,32073,38474,18669,8509,3624,20400,9780,29101,25631,11931,38753,29076,NA,NA,NA,306311,96484,38089,113686,43673,14379,6534,NA,115789,53479,45428,3137,4414,9331,123524,53246,44016,3275,12368,10619,NA,3937,2035,NA,NA,NA,NA,NA,NA,12764,3029,NA,458,665,624,1282,3029,1949,1740,NA,84696,5756,3944,38423,20098,16475,NA,195402,23577,20764,72328,39480,13081,18397,7775,151061,26172,NA,225541,7521,NA,307130,31313,82798,2408,186779,16079,37553,12826,NA,304398,275249,28546,26354,2192,708,1484,603,NA,308348,240036,236707,208697,28010,3329,68312,NA,68312,28621,39691,NA,71641,3329,840,2489,68312,3177,65135,NA,68312,6489,2877,708,16,58177,45,NA,286230,148694,137536,52223,124609,45557,9160,4704,2349,1447,1418,515,NA,308348,6169,1233,1223,288,262,1261,1094,109,8106,694,220,9336,7070,1552,396,19458,99,482,132,365,457,1614,753,52,280,76,1046,NA,96484,77421,65158
"7",7,NA,32606,14590,6827,4230,1420,1260,517,9100,4890,18016,16341,4809,8273,8218,64.73,97.77,NA,71138,32606,4282,22601,7582,4067,1603,NA,24782,15032,5273,915,700,2862,34642,20203,5332,1277,2961,4869,NA,864,705,1238,1313,NA,2373,574,NA,1771,784,NA,108,182,182,312,784,702,187,NA,20765,1242,1065,7059,4108,7291,NA,48286,1425,4647,11293,14420,3745,6767,5989,42214,12756,NA,56459,2835,NA,72885,11480,16855,737,46377,6599,9653,4144,NA,72744,60946,11290,9296,1994,307,1687,508,NA,73345,70226,69988,55753,14235,238,3119,NA,3119,1372,1747,NA,3357,238,66,172,3119,1110,2009,NA,3119,413,819,806,24,1017,40,NA,68501,63931,4570,1602,1789,833,1142,354,784,266,855,149,NA,73345,997,99,41,24,88,573,108,21,1003,9,30,1075,312,114,131,253,8,239,26,120,6,2393,167,6,66,14,728,NA,32606,24661,20399
"8",8,NA,80007,46175,18368,18111,6774,5265,1794,22799,9800,33832,30199,11360,23810,26452,169.37,226.79,NA,208529,80007,18091,71228,28263,10940,3153,NA,74576,38770,21040,3267,3175,8324,94425,46560,20434,3679,11709,12043,NA,2759,2192,3619,3515,NA,6661,1223,NA,7029,2533,NA,472,552,493,1016,2533,1911,1142,NA,54628,4203,2652,22235,12517,13021,NA,139852,8865,13385,43216,38148,10743,16204,9291,117602,25495,NA,160031,8927,NA,209008,31871,49510,1735,126387,16594,33111,13542,NA,206888,180191,26109,23560,2549,790,1759,588,NA,209605,192996,191545,158403,33142,1451,16609,NA,16609,7922,8687,NA,18060,1451,344,1107,16609,1525,15084,NA,16609,777,549,2034,11,13225,13,NA,196452,161520,34932,12049,29799,10226,2944,1115,385,210,1804,498,NA,209605,3635,311,152,34,229,406,820,24,1953,544,103,2408,1030,161,137,2791,15,78,78,169,218,5268,259,35,45,145,2528,NA,80007,62733,52666
"9",9,NA,63591,41743,15886,20898,7805,3618,979,17227,7102,21848,19968,8201,20268,21783,152.88,195.33,NA,178077,63591,20919,63136,23849,6582,2557,NA,65888,32041,23344,1711,2690,6102,79787,35956,22748,2487,8767,9829,NA,2699,1744,2807,3366,2235,5688,1408,NA,6364,2230,NA,455,216,352,1207,2230,1665,976,NA,46469,4038,2038,18502,10695,11196,NA,120550,3388,9515,31273,33605,9375,19146,14248,107647,33394,NA,137543,8520,NA,179350,24562,42580,1141,108076,12999,28694,10422,NA,178040,161208,16438,14589,1849,436,1413,394,NA,180179,175140,174369,145436,28933,771,5039,NA,5039,2865,2174,NA,5810,771,138,633,5039,880,4159,NA,5039,943,730,668,5,2578,115,NA,168630,160011,8619,2666,5419,1863,1946,534,699,194,555,75,NA,180179,4199,305,486,179,721,1834,977,195,8892,443,153,18195,4999,982,423,5270,9,338,183,458,373,2906,902,71,217,301,1057,NA,63591,54116,45970
"10",10,NA,51977,36023,18086,14274,6579,4250,1600,17499,9907,15954,13522,4523,22225,12788,204.16,253.21,NA,168325,51977,14189,66164,25811,10184,3887,NA,68564,42729,18651,1805,1490,3889,68365,37630,17198,2784,5311,5442,NA,2662,1934,3652,3818,2424,6095,1739,NA,6868,2052,NA,296,487,342,927,2052,1500,1063,NA,51205,4226,3190,23586,11184,9019,NA,106624,17619,19079,32041,20130,5819,8508,3428,69926,11936,NA,128339,3041,NA,170101,22340,51817,2290,101709,12447,16575,7603,NA,177714,149773,27671,25682,1989,934,1055,270,NA,180219,145394,142447,123694,18753,2947,34825,NA,34825,9725,25100,NA,37772,2947,574,2373,34825,2381,32444,NA,34825,236,719,274,69,33520,7,NA,166004,97612,68392,30383,66679,29895,837,269,403,74,473,145,NA,180219,1894,316,171,23,139,460,316,1,1359,56,48,1044,1246,26,39,1201,74,87,32,163,21,999,123,41,60,35,245,NA,51977,38036,31061
"11",11,NA,102383,47959,20346,34458,14489,4423,1519,9078,4338,54424,42744,10591,21908,21434,119.87,165.91,NA,231446,102383,34373,57314,15704,21672,7143,NA,101425,50140,39951,1601,2163,7570,101890,43712,38423,2032,7256,10467,NA,3273,628,983,2806,NA,3617,2393,NA,3348,928,NA,294,230,57,347,928,600,560,NA,56785,4072,2521,17912,8769,23511,NA,174340,11879,10436,31597,26665,8609,51013,34141,152025,85154,NA,197354,5722,NA,236597,25763,43832,896,165353,13482,27412,11385,NA,238047,196439,37401,28453,8948,2567,6381,4207,NA,241371,163924,159946,106834,53112,3978,77447,NA,77447,39340,38107,NA,81425,3978,931,3047,77447,18249,59198,NA,77447,13823,32351,9724,104,20870,575,NA,226188,126662,99526,44987,36481,16099,32508,13906,14544,7264,15993,7718,NA,241371,4662,6280,1252,933,2313,10241,3425,906,25372,2632,1790,23195,9459,1270,2111,11466,300,4910,842,2685,495,11618,4125,322,1286,815,1729,NA,102383,91827,81078
"12",12,NA,78574,53588,23812,28240,12376,6489,2491,18859,8945,24986,20409,6210,29756,19812,189.03,228.9,NA,249879,78574,28062,86731,41107,15405,5246,NA,94328,47963,35394,2458,2414,6099,103722,48485,33973,3586,8060,9618,NA,3535,2116,2746,3141,1412,5676,1188,NA,10992,3294,NA,397,453,537,1907,3294,2239,1849,NA,66960,4748,3367,28970,15001,14874,NA,161078,23263,19830,51279,30959,10502,16844,8401,117985,25245,NA,187482,5215,NA,250147,30202,63860,2240,159936,17239,26351,10723,NA,248183,219358,27556,24782,2774,1292,1482,1269,NA,251389,190696,179266,151650,27616,11430,60693,NA,60693,21094,39599,NA,72123,11430,933,10497,60693,5115,55578,NA,60693,7232,2934,462,34,49968,63,NA,234048,107810,126238,55160,114047,48683,9007,5304,2161,781,1023,392,NA,251389,5059,998,321,272,288,1364,674,248,5089,468,323,4039,3640,243,538,9848,0,331,221,306,115,1321,588,114,1000,65,662,NA,78574,61898,51329
"13",13,NA,52283,35372,17443,22060,11229,4032,1669,9280,4545,16911,13225,5679,20003,14400,159.12,196.47,NA,161102,52283,21740,56856,19484,10739,4018,NA,63310,29701,26664,1550,1994,3401,63935,25468,25875,1881,5902,4809,NA,2377,1261,2405,2895,786,4279,1841,NA,5440,1270,NA,388,284,110,488,1270,850,843,NA,42976,2684,2490,18256,8752,10794,NA,104305,20304,10872,36777,14249,4898,11458,5747,73129,17205,NA,120805,2647,NA,161421,14314,40801,1109,101386,6905,19234,6300,NA,159689,145190,13199,11264,1935,654,1281,1300,NA,161630,100221,98039,86991,11048,2182,61409,NA,61409,25377,36032,NA,63591,2182,660,1522,61409,7343,54066,NA,61409,1154,23106,212,26,36813,98,NA,149793,47799,101994,50929,72311,31392,2186,756,27014,18730,483,51,NA,161630,1808,472,258,92,373,1220,709,45,5335,219,65,7107,5125,1118,238,5175,25,326,171,217,153,500,542,21,79,94,115,NA,52283,42042,37798
